Question,Background Type,Detail Type Id,Detail Title,Detail
Where are you from?,Character Background,11,Childhood Misfortunes,Character was abused as a child
,,11,,"Orphaned early, raised by distant relatives"
,,11,,Sickly and weak as a child
,,11,,Mocked and teased by other children
,,11,,"Parents had to move a lot, never rooted"
,,11,,Resents parents and upbringing to this day
,,11,,Always felt out of place as a child
,,11,,Mistreated by stepmother or father
,,11,,As a child regarded as weird by everyone
,,11,,Resented schooling or similar education
,,12,"As a child, character was",known as a dreamer
,,12,,quite bright and was considered for schooling
,,12,,cold and deliberate
,,12,,Known for his good manners and politeness
,,12,,sometimes running away for days
,,12,,prematurely adult and conscientious
,,12,,proficient in some sport or art
,,12,,disobedient and rude to his parents
,,12,,"a good child: helpful, loving and sweet"
,,12,,religious and had an early awakened piety
,,13,"While growing up, character",spent summers with relatives in the countryside
,,13,,spent winters in a city with friends of his parents
,,13,,Intermittently worked for a distant relative
,,13,,was sent to a nearby village during the harvest
,,13,,always tried to impress a neighbour but failed
,,13,,often found a reason to visit the next village
,,13,,ran away and spent the evening in a close-by inn
,,13,,often hid from mother – sometimes for days
,,13,,was considered somewhat slow
,,13,,never felt they really could talk to either parent
,,14,Family’s roots in community,Recently driven from ancestral home
,,14,,Has always moved around throughout province
,,14,,Moved there [1*10] years ago
,,14,,Lived in community for [1*10] generations
,,14,,Family recently moved to another province
,,14,,Entire extended family lives elsewhere
,,14,,Extended family lives in same community
,,14,,Parents recently moved back to ancestral home
,,14,,Parents alternated between two homes
,,14,,Family never had a steady home
,,15,Feelings on home community,Feels people there care for each other
,,15,,Proud of a famous figure or feature
,,15,,Constantly felt estranged
,,15,,People back home are insular and bigoted
,,15,,Something goes on behind the scenes
,,15,,Always felt the wrong people had authority
,,15,,The community is hiding a sinister secret
,,15,,Lately treated as an outsider back home
,,15,,Family has never felt part of community
,,15,,Gets a special feeling treading those streets
,,16,Has traces of the accent of,Averland
,,16,,Hochland
,,16,,Middenland
,,16,,Nordland
,,16,,Ostermark
,,16,,Ostland
,,16,,Reikland
,,16,,Stirland
,,16,,Talabecland
,,16,,Wissenland
,,17,Once spent [1*10] months in,another province in the Empire
,,17,,"Bretonnia, visiting distant family"
,,17,,"Kislev, in the line of work"
,,17,,"Tillea, to find someone who fled there"
,,17,,"Border Princes, to hide out for a while"
,,17,,"Estalia, visiting the temple of Myrmidia"
,,17,,"Marienburg, working off a debt"
,,17,,"Nuln, seeking a scholar’s advice"
,,17,,"Altdorf, to address the Emperor!"
,,17,,"prison, mental asylum or slavery"
,,18,Nurtures a lifelong dream to,live in a another country
,,18,,marry someone “untouchable” due to class
,,18,,"move to another town, city or province"
,,18,,live [on the sea/in the mountains]
,,18,,take up a different profession
,,18,,buy a certain farm or townhouse
,,18,,reacquire some family estate or heirloom
,,18,,"visit friends or relatives that live far, far away"
,,18,,visit a settlement of [Elves/Dwarfs/Halflings]
,,18,,say “I’m sorry” to someone he hurt years ago
,,19,Fond memories of a nearby,Lake
,,19,,River
,,19,,Town
,,19,,Village
,,19,,Forest
,,19,,farmstead
,,19,,Ruin
,,19,,Field
,,19,,Temple
,,19,,Shrine
,,20,Place,the character has very bad memories of the [19]
,,20,,was born in the [19]
,,20,,they used to hide from everyone in [19]
,,20,,the [19] left an unforgettable impression as it burned
,,20,,they had his first real experience of death in [19]
,,20,,they knew the [19] to be haunted
,,20,,they return to the [19] in dreams
,,20,,"the [19], where a loved one wanted to be buried"
,,20,,"the [19], where they were almost killed at [10+1*10] years old"
,,20,,"the [19], where they had their first brush with love"
What is your family like?,Family and Heritage,21,Character is very fond of their,mother
,,21,,Father
,,21,,grandmother
,,21,,grandfather
,,21,,Sister
,,21,,brother
,,21,,aunt
,,21,,Uncle
,,21,,Niece
,,21,,Nephew
,,22,Relative,[21] was killed and eaten by Beastmen
,,22,,[21] was hunted through the forest by Mutants
,,22,,[21] was robbed and killed by Outlaws
,,22,,[21] is rumoured to have had dealings with smugglers
,,22,,[21] was [raped/beaten] and left for dead
,,22,,[21] once stumbled upon a Goblin lair
,,22,,[21] Claimed to have seen a Ghost once
,,22,,[21] saw all they ever owned burnt by Orcs
,,22,,[21] once saw a Troll distressingly close to home
,,22,,[21] spread rumours of Dragons or such
,,23,Relative,has an ongoing conflict with [21]
,,23,,[21] who is never talked about in the family
,,23,,"[21] was considered weak, but surprised everyone"
,,23,,[21] in the family has an influential position
,,23,,[21] is an important figure in another town
,,23,,[21] is quite an accomplished entertainer
,,23,,particularly wants to impress their [21]
,,23,,[21] is the true leader in the family
,,23,,[21] was quite successful in some kind of sport
,,23,,[21] is [famous/infamous] for their cooking
,,24,Relative,[21] moved after accusations of witchcraft
,,24,,mourns death of their [21]
,,24,,[21] is an Agitator to the dismay of the family
,,24,,[21] died in the Storm of Chaos
,,24,,[21] was murdered [1*10] months ago
,,24,,[21] was punished by a local noble for disobedience
,,24,,[21] is the black sheep of the family
,,24,,[21] returned changed from the siege of Middenheim
,,24,,[21] suffers from some incurable wasting disease
,,24,,[21] introduced them to their present walk of life
,,25,Character’s family,originates from another part of the Empire
,,25,,is often turned to for advice and help
,,25,,is anonymous in their community
,,25,,and home sees a lot of visitors and friends
,,25,,is known for generations of piety
,,25,,owes a lot of money to various people
,,25,,is generally well seen in their community
,,25,,is considered something of an upstart
,,25,,Suffered a major blow [1*10] years ago
,,25,,has economically been on the decline of late
,,26,Heritage & ancestry: character,is ashamed of their ancestry
,,26,,feels insignificant compared to ancestors
,,26,,is something of a genealogist
,,26,,is unduly boastful of their blood-line
,,26,,mourns their lineage’s greater days
,,26,,thinks their family deserves a better reputation
,,26,,has sworn to give own children a better start in life
,,26,,frequently goes to family cemetery to pay respect
,,26,,dreams of being knighted
,,26,,has illicitly adopted some sort of title or heraldry
,,27,Central relative growing up,Very young when mother died
,,27,,Always afraid of father
,,27,,"Never met their father, thinks about him a lot"
,,27,,Recently learnt who was their real father
,,27,,Secretly related to local Noble
,,27,,Often turned to an aunt for advice and guidance
,,27,,Looked up to and loved an older sibling
,,27,,Was great friends with a cousin of same age
,,27,,Family reveres memory of a great grandparent
,,27,,Family terrorized by a distant relative
,,28,Character’s opinion of their family,Never talks about their family
,,28,,Isn’t truthful when talking about family
,,28,,Favourite son or daughter
,,28,,Is the black/white sheep of the family
,,28,,Seems to be fond of a sister or brother
,,28,,Seems proud of their family and upbringing
,,28,,Full of stories about various relatives
,,28,,Always trying to keep in touch with family
,,28,,Obsessed with birthdays of extended family
,,28,,Seems to do relatives favours all the time
,,29,Views on childbirth and rearing,Upbringing is the domain of the father alone
,,29,,Pregnancy is a holy state
,,29,,The mother–daughter bond is holy
,,29,,Children should be educated by Priests of Sigmar
,,29,,Parents are forever responsible for their children
,,29,,Begetting heirs is the most important thing in life
